date,conc1,conc2,response,repeats,drug1,drug2,conc_unit1,conc_unit2,block_id
44784,25,0,8.459215777,2,FLV,TBF,uM,uM,58
44784,25,0.1,10.44259302,2,FLV,TBF,uM,uM,58
44784,25,0.2,8.184332945,2,FLV,TBF,uM,uM,58
44784,25,0.4,10.11895937,2,FLV,TBF,uM,uM,58
44784,25,0.83,8.180428659,2,FLV,TBF,uM,uM,58
44784,25,1.6,8.985028119,2,FLV,TBF,uM,uM,58
44784,25,3.15,5.968597934,2,FLV,TBF,uM,uM,58
44784,25,6.3,3.192017529,2,FLV,TBF,uM,uM,58
44784,25,12.5,0.946420007,2,FLV,TBF,uM,uM,58
44784,25,25,0.447515582,2,FLV,TBF,uM,uM,58
44784,14.4,0,17.21294134,2,FLV,TBF,uM,uM,58
44784,14.4,0.1,17.90210056,2,FLV,TBF,uM,uM,58
44784,14.4,0.2,15.90563869,2,FLV,TBF,uM,uM,58
44784,14.4,0.4,15.2251322,2,FLV,TBF,uM,uM,58
44784,14.4,0.83,12.42871381,2,FLV,TBF,uM,uM,58
44784,14.4,1.6,18.10058601,2,FLV,TBF,uM,uM,58
44784,14.4,3.15,16.4531884,2,FLV,TBF,uM,uM,58
44784,14.4,6.3,7.873150806,2,FLV,TBF,uM,uM,58
44784,14.4,12.5,1.392880376,2,FLV,TBF,uM,uM,58
44784,14.4,25,0.545861378,2,FLV,TBF,uM,uM,58
44784,8.3,0,22.74014392,2,FLV,TBF,uM,uM,58
44784,8.3,0.1,23.51435326,2,FLV,TBF,uM,uM,58
44784,8.3,0.2,23.83756482,2,FLV,TBF,uM,uM,58
44784,8.3,0.4,25.95664238,2,FLV,TBF,uM,uM,58
44784,8.3,0.83,25.59512661,2,FLV,TBF,uM,uM,58
44784,8.3,1.6,24.91134897,2,FLV,TBF,uM,uM,58
44784,8.3,3.15,26.91266482,2,FLV,TBF,uM,uM,58
44784,8.3,6.3,14.75482404,2,FLV,TBF,uM,uM,58
44784,8.3,12.5,1.687706723,2,FLV,TBF,uM,uM,58
44784,8.3,25,0.624369181,2,FLV,TBF,uM,uM,58
44784,4.8,0,32.09301908,2,FLV,TBF,uM,uM,58
44784,4.8,0.1,34.39412078,2,FLV,TBF,uM,uM,58
44784,4.8,0.2,30.70151048,2,FLV,TBF,uM,uM,58
44784,4.8,0.4,33.12649411,2,FLV,TBF,uM,uM,58
44784,4.8,0.83,35.93684132,2,FLV,TBF,uM,uM,58
44784,4.8,1.6,36.49895297,2,FLV,TBF,uM,uM,58
44784,4.8,3.15,30.72746871,2,FLV,TBF,uM,uM,58
44784,4.8,6.3,20.78905618,2,FLV,TBF,uM,uM,58
44784,4.8,12.5,2.393960386,2,FLV,TBF,uM,uM,58
44784,4.8,25,0.723453626,2,FLV,TBF,uM,uM,58
44784,2.7,0,36.16698314,2,FLV,TBF,uM,uM,58
44784,2.7,0.1,47.56095566,2,FLV,TBF,uM,uM,58
44784,2.7,0.2,38.817043580000004,2,FLV,TBF,uM,uM,58
44784,2.7,0.4,49.39533691,2,FLV,TBF,uM,uM,58
44784,2.7,0.83,47.3460089,2,FLV,TBF,uM,uM,58
44784,2.7,1.6,55.45141195,2,FLV,TBF,uM,uM,58
44784,2.7,3.15,37.95071419,2,FLV,TBF,uM,uM,58
44784,2.7,6.3,30.07935725,2,FLV,TBF,uM,uM,58
44784,2.7,12.5,6.017981875,2,FLV,TBF,uM,uM,58
44784,2.7,25,0.909382052,2,FLV,TBF,uM,uM,58
44784,1.6,0,54.61673894,2,FLV,TBF,uM,uM,58
44784,1.6,0.1,57.34868386,2,FLV,TBF,uM,uM,58
44784,1.6,0.2,48.74733097,2,FLV,TBF,uM,uM,58
44784,1.6,0.4,58.91271969,2,FLV,TBF,uM,uM,58
44784,1.6,0.83,59.70898297,2,FLV,TBF,uM,uM,58
44784,1.6,1.6,62.10589795,2,FLV,TBF,uM,uM,58
44784,1.6,3.15,56.30191315,2,FLV,TBF,uM,uM,58
44784,1.6,6.3,51.437489480000004,2,FLV,TBF,uM,uM,58
44784,1.6,12.5,4.43642952,2,FLV,TBF,uM,uM,58
44784,1.6,25,0.873821394,2,FLV,TBF,uM,uM,58
44784,0.9,0,50.19645417,2,FLV,TBF,uM,uM,58
44784,0.9,0.1,55.07871093,2,FLV,TBF,uM,uM,58
44784,0.9,0.2,53.53978916,2,FLV,TBF,uM,uM,58
44784,0.9,0.4,55.46565732,2,FLV,TBF,uM,uM,58
44784,0.9,0.83,63.34598357,2,FLV,TBF,uM,uM,58
44784,0.9,1.6,59.07543344,2,FLV,TBF,uM,uM,58
44784,0.9,3.15,57.37696355,2,FLV,TBF,uM,uM,58
44784,0.9,6.3,58.25194568,2,FLV,TBF,uM,uM,58
44784,0.9,12.5,12.0014583,2,FLV,TBF,uM,uM,58
44784,0.9,25,1.117364417,2,FLV,TBF,uM,uM,58
44784,0.5,0,56.89219897,2,FLV,TBF,uM,uM,58
44784,0.5,0.1,58.90248413,2,FLV,TBF,uM,uM,58
44784,0.5,0.2,61.71947917,2,FLV,TBF,uM,uM,58
44784,0.5,0.4,65.51085734,2,FLV,TBF,uM,uM,58
44784,0.5,0.83,70.51077029,2,FLV,TBF,uM,uM,58
44784,0.5,1.6,71.08702178,2,FLV,TBF,uM,uM,58
44784,0.5,3.15,71.56281706,2,FLV,TBF,uM,uM,58
44784,0.5,6.3,57.60214588,2,FLV,TBF,uM,uM,58
44784,0.5,12.5,12.80911788,2,FLV,TBF,uM,uM,58
44784,0.5,25,1.18479249,2,FLV,TBF,uM,uM,58
44784,0.3,0,63.37816755,2,FLV,TBF,uM,uM,58
44784,0.3,0.1,74.73573524,2,FLV,TBF,uM,uM,58
44784,0.3,0.2,65.27786644,2,FLV,TBF,uM,uM,58
44784,0.3,0.4,65.70079558,2,FLV,TBF,uM,uM,58
44784,0.3,0.83,77.16736671,2,FLV,TBF,uM,uM,58
44784,0.3,1.6,67.83876143,2,FLV,TBF,uM,uM,58
44784,0.3,3.15,58.34986939,2,FLV,TBF,uM,uM,58
44784,0.3,6.3,67.68638876,2,FLV,TBF,uM,uM,58
44784,0.3,12.5,17.08103979,2,FLV,TBF,uM,uM,58
44784,0.3,25,1.371987171,2,FLV,TBF,uM,uM,58
44784,0.17,0,65.97557289,2,FLV,TBF,uM,uM,58
44784,0.17,0.1,77.57499526,2,FLV,TBF,uM,uM,58
44784,0.17,0.2,68.09370075,2,FLV,TBF,uM,uM,58
44784,0.17,0.4,68.88890882,2,FLV,TBF,uM,uM,58
44784,0.17,0.83,73.74731778,2,FLV,TBF,uM,uM,58
44784,0.17,1.6,75.01694935,2,FLV,TBF,uM,uM,58
44784,0.17,3.15,66.61935798,2,FLV,TBF,uM,uM,58
44784,0.17,6.3,74.37063175,2,FLV,TBF,uM,uM,58
44784,0.17,12.5,9.599478303,2,FLV,TBF,uM,uM,58
44784,0.17,25,1.294745623,2,FLV,TBF,uM,uM,58
44784,0.1,0,61.98729208,2,FLV,TBF,uM,uM,58
44784,0.1,0.1,82.49144091,2,FLV,TBF,uM,uM,58
44784,0.1,0.2,73.37292842,2,FLV,TBF,uM,uM,58
44784,0.1,0.4,76.04831396,2,FLV,TBF,uM,uM,58
44784,0.1,0.83,81.523178,2,FLV,TBF,uM,uM,58
44784,0.1,1.6,79.43121941,2,FLV,TBF,uM,uM,58
44784,0.1,3.15,83.40704871,2,FLV,TBF,uM,uM,58
44784,0.1,6.3,82.72801953,2,FLV,TBF,uM,uM,58
44784,0.1,12.5,10.18680953,2,FLV,TBF,uM,uM,58
44784,0.1,25,1.299705121,2,FLV,TBF,uM,uM,58
44784,0,0,100,2,FLV,TBF,uM,uM,58
44784,0,0.1,86.89916865,2,FLV,TBF,uM,uM,58
44784,0,0.2,78.27196306,2,FLV,TBF,uM,uM,58
44784,0,0.4,85.9197205,2,FLV,TBF,uM,uM,58
44784,0,0.83,95.38719173,2,FLV,TBF,uM,uM,58
44784,0,1.6,79.87177059,2,FLV,TBF,uM,uM,58
44784,0,3.15,88.89636917,2,FLV,TBF,uM,uM,58
44784,0,6.3,92.54750962,2,FLV,TBF,uM,uM,58
44784,0,12.5,36.07971708,2,FLV,TBF,uM,uM,58
44784,0,25,1.353309911,2,FLV,TBF,uM,uM,58
44844,25,0,6.604739246,1,FLV,TBF,uM,uM,95
44844,25,0.1,9.026908981,1,FLV,TBF,uM,uM,95
44844,25,0.2,7.257339995,1,FLV,TBF,uM,uM,95
44844,25,0.4,10.12289384,1,FLV,TBF,uM,uM,95
44844,25,0.83,6.389351023,1,FLV,TBF,uM,uM,95
44844,25,1.6,7.159828994,1,FLV,TBF,uM,uM,95
44844,25,3.15,5.141986068,1,FLV,TBF,uM,uM,95
44844,25,6.3,4.277876376,1,FLV,TBF,uM,uM,95
44844,25,12.5,4.736865771,1,FLV,TBF,uM,uM,95
44844,25,25,5.797672608,1,FLV,TBF,uM,uM,95
44844,14.4,0,13.32770838,1,FLV,TBF,uM,uM,95
44844,14.4,0.1,12.8283392,1,FLV,TBF,uM,uM,95
44844,14.4,0.2,13.34428348,1,FLV,TBF,uM,uM,95
44844,14.4,0.4,15.43503925,1,FLV,TBF,uM,uM,95
44844,14.4,0.83,12.73999741,1,FLV,TBF,uM,uM,95
44844,14.4,1.6,9.896132269,1,FLV,TBF,uM,uM,95
44844,14.4,3.15,10.5010355,1,FLV,TBF,uM,uM,95
44844,14.4,6.3,5.659781826,1,FLV,TBF,uM,uM,95
44844,14.4,12.5,3.268117341,1,FLV,TBF,uM,uM,95
44844,14.4,25,4.116533581,1,FLV,TBF,uM,uM,95
44844,8.3,0,22.92751653,1,FLV,TBF,uM,uM,95
44844,8.3,0.1,22.45353901,1,FLV,TBF,uM,uM,95
44844,8.3,0.2,19.02601851,1,FLV,TBF,uM,uM,95
44844,8.3,0.4,27.9377834,1,FLV,TBF,uM,uM,95
44844,8.3,0.83,16.53781284,1,FLV,TBF,uM,uM,95
44844,8.3,1.6,18.73833461,1,FLV,TBF,uM,uM,95
44844,8.3,3.15,11.33252397,1,FLV,TBF,uM,uM,95
44844,8.3,6.3,10.37522339,1,FLV,TBF,uM,uM,95
44844,8.3,12.5,4.436397877,1,FLV,TBF,uM,uM,95
