"","estimate","pval","fdr","Symbol","EntrezGeneId","significant"
"ENSG00000179219",-0.997633460868715,8.39413427982636e-06,0.24656930033562,NA,NA,FALSE
"ENSG00000036530",0.986201736772295,0.000284274562215481,0.72533551846232,"CYP46A1","10858",FALSE
"ENSG00000101306",-0.985248193809084,0.000324818565892741,0.72533551846232,"MYLK2","85366",FALSE
"ENSG00000102226",-0.983353148198788,0.000413369943904558,0.72533551846232,"USP11","8237",FALSE
"ENSG00000122126",0.983224153553383,0.000419782930954567,0.72533551846232,"OCRL","4952",FALSE
"ENSG00000126756",-0.988302374525722,0.00020445134357902,0.72533551846232,"UXT","8409",FALSE
"ENSG00000151725",-0.992442371537351,8.54607846102288e-05,0.72533551846232,"CENPU","79682",FALSE
"ENSG00000154174",0.9869169093691,0.000255631192293733,0.72533551846232,"TOMM70A","9868",FALSE
"ENSG00000161981",-0.991853811473693,9.9270289145562e-05,0.72533551846232,"SNRNP25","79622",FALSE
"ENSG00000163950",-0.986755514619292,0.000261962939573357,0.72533551846232,"SLBP","7884",FALSE
"ENSG00000187091",0.983280674172765,0.000416966958646478,0.72533551846232,"PLCD1","5333",FALSE
"ENSG00000259287",0.98487020331248,0.000341634435171598,0.72533551846232,NA,NA,FALSE
"ENSG00000261087",-0.984077238704419,0.000378283007627337,0.72533551846232,NA,NA,FALSE
"ENSG00000262420",-0.992850330481868,7.64939237316813e-05,0.72533551846232,NA,NA,FALSE
"ENSG00000272420",0.98781845235418,0.000221681344015835,0.72533551846232,NA,NA,FALSE
"ENSG00000278903",-0.985526132275223,0.000312723184493745,0.72533551846232,NA,NA,FALSE
"ENSG00000286522",-0.98846433293742,0.000198839886947408,0.72533551846232,NA,NA,FALSE
"ENSG00000138175",-0.980917759790173,0.000542723611028184,0.839050702649572,"ARL3","403",FALSE
"ENSG00000204536",-0.98113724305671,0.000530349680844004,0.839050702649572,"CCHCR1","54535",FALSE
"ENSG00000000003",0.565759874749441,0.241905596475219,0.845349906938348,"TSPAN6","7105",FALSE
"ENSG00000000457",0.566871551540089,0.240772876070819,0.845349906938348,"SCYL3","57147",FALSE
"ENSG00000000938",-0.438698953299487,0.384166862184646,0.845349906938348,"FGR","2268",FALSE
"ENSG00000000971",-0.333690671667201,0.518042131274852,0.845349906938348,"CFH","3075",FALSE
"ENSG00000001167",0.453898450805069,0.365909266443714,0.845349906938348,"NFYA","4800",FALSE
"ENSG00000001497",0.511703272068031,0.299437345334847,0.845349906938348,"LAS1L","81887",FALSE
"ENSG00000001561",-0.806963006907189,0.052298325223697,0.845349906938348,"ENPP4","22875",FALSE
"ENSG00000001626",0.53603897482553,0.272953662950254,0.845349906938348,"CFTR","1080",FALSE
"ENSG00000001630",0.402152524939869,0.42929060358065,0.845349906938348,"CYP51A1","1595",FALSE
"ENSG00000002079",-0.333118468210926,0.518805028426946,0.845349906938348,NA,NA,FALSE
"ENSG00000002330",-0.510810678736558,0.300426271228631,0.845349906938348,"BAD","572",FALSE
"ENSG00000002745",-0.463830291829692,0.354148448063067,0.845349906938348,"WNT16","51384",FALSE
"ENSG00000002746",-0.359354564518889,0.484170905386657,0.845349906938348,"HECW1","23072",FALSE
"ENSG00000002822",0.465356814956405,0.352352907362576,0.845349906938348,"MAD1L1","8379",FALSE
"ENSG00000002919",-0.384611208125648,0.451530144563172,0.845349906938348,"SNX11","29916",FALSE
"ENSG00000002933",-0.53268237601476,0.276550884898879,0.845349906938348,"TMEM176A","55365",FALSE
"ENSG00000003249",0.720530955290778,0.106240742439386,0.845349906938348,"DBNDD1","79007",FALSE
"ENSG00000003393",0.434711441060927,0.389007426379963,0.845349906938348,"ALS2","57679",FALSE
"ENSG00000003402",0.485421267592691,0.329058929259375,0.845349906938348,"CFLAR","8837",FALSE
"ENSG00000003436",0.595999473522337,0.211854877196808,0.845349906938348,"TFPI","7035",FALSE
"ENSG00000003509",0.793949945979644,0.0593108422298431,0.845349906938348,"NDUFAF7","55471",FALSE
"ENSG00000003987",-0.52414163008643,0.28578481497213,0.845349906938348,"MTMR7","9108",FALSE
"ENSG00000003989",-0.854048328979915,0.0303983121696768,0.845349906938348,"SLC7A2","6542",FALSE
"ENSG00000004059",-0.508273040138041,0.30324444535619,0.845349906938348,"ARF5","381",FALSE
"ENSG00000004455",0.393183978954777,0.440615903072874,0.845349906938348,"AK2","204",FALSE
"ENSG00000004478",0.363396684180562,0.478899538958667,0.845349906938348,"FKBP4","2288",FALSE
"ENSG00000004487",0.348037728761803,0.499022357256322,0.845349906938348,"KDM1A","23028",FALSE
"ENSG00000004660",0.403609434766092,0.427459952518215,0.845349906938348,"CAMKK1","84254",FALSE
"ENSG00000004766",0.417263633064024,0.410429214721677,0.845349906938348,"CCDC132","55610",FALSE
"ENSG00000004776",-0.941505245559587,0.0050323805580763,0.845349906938348,"HSPB6","126393",FALSE
"ENSG00000004777",-0.649242865846515,0.162968926164265,0.845349906938348,"ARHGAP33","115703",FALSE
"ENSG00000004799",0.528399836071297,0.281166550390122,0.845349906938348,"PDK4","5166",FALSE
"ENSG00000004809",0.402568687675485,0.428767420897016,0.845349906938348,"SLC22A16","85413",FALSE
"ENSG00000004838",0.349485352545061,0.497115043696959,0.845349906938348,"ZMYND10","51364",FALSE
"ENSG00000004846",0.402568687675485,0.428767420897016,0.845349906938348,"ABCB5","340273",FALSE
"ENSG00000004848",0.363942751530723,0.478188768703497,0.845349906938348,"ARX","170302",FALSE
"ENSG00000004864",0.500295526739382,0.31216759793314,0.845349906938348,"SLC25A13","10165",FALSE
"ENSG00000004866",0.360002287333823,0.483325013659786,0.845349906938348,"ST7","7982",FALSE
"ENSG00000004897",0.416760212219388,0.411053029443061,0.845349906938348,"CDC27","996",FALSE
"ENSG00000004939",0.458642082094335,0.360275144782595,0.845349906938348,"SLC4A1","6521",FALSE
"ENSG00000004948",0.458642082094335,0.360275144782595,0.845349906938348,"CALCR","799",FALSE
"ENSG00000004975",0.379068793912869,0.458631603761001,0.845349906938348,"DVL2","1856",FALSE
"ENSG00000005001",0.44967329958465,0.370953387399311,0.845349906938348,"PRSS22","64063",FALSE
"ENSG00000005020",0.390692366987642,0.443779193645365,0.845349906938348,"SKAP2","8935",FALSE
"ENSG00000005073",-0.486527658289538,0.327791289775747,0.845349906938348,"HOXA11","3207",FALSE
"ENSG00000005075",-0.433143032734464,0.390917058284002,0.845349906938348,"POLR2J","5439",FALSE
"ENSG00000005102",0.465286473331876,0.35243557379993,0.845349906938348,"MEOX1","4222",FALSE
"ENSG00000005108",-0.812923841449443,0.0492226357373621,0.845349906938348,"THSD7A","221981",FALSE
"ENSG00000005156",0.51112007293088,0.300083347501242,0.845349906938348,"LIG3","3980",FALSE
"ENSG00000005175",-0.348080988808406,0.498965328314532,0.845349906938348,"RPAP3","79657",FALSE
"ENSG00000005189",-0.66846720143741,0.146650947349922,0.845349906938348,"AC004381.6","81691",FALSE
"ENSG00000005194",-0.339857035810153,0.509841666716558,0.845349906938348,"CIAPIN1","57019",FALSE
"ENSG00000005249",0.844873211747366,0.0342299702801949,0.845349906938348,"PRKAR2B","5577",FALSE
"ENSG00000005339",-0.478131453630836,0.337455560521765,0.845349906938348,"CREBBP","1387",FALSE
"ENSG00000005379",-0.91189929906782,0.0113006931760038,0.845349906938348,"BZRAP1","9256",FALSE
"ENSG00000005421",0.447539690664665,0.373509723453485,0.845349906938348,"PON1","5444",FALSE
"ENSG00000005513",-0.539257996168686,0.269520899028337,0.845349906938348,"SOX8","30812",FALSE
"ENSG00000005801",-0.353264346554057,0.492146415618766,0.845349906938348,"ZNF195","7748",FALSE
"ENSG00000005812",-0.369375744424565,0.47113490863984,0.845349906938348,"FBXL3","26224",FALSE
"ENSG00000005844",0.699402949315349,0.121957117960339,0.845349906938348,"ITGAL","3683",FALSE
"ENSG00000005889",0.420006596231226,0.407035851043355,0.845349906938348,"ZFX","7543",FALSE
"ENSG00000005893",0.702366749762043,0.119695324640375,0.845349906938348,"LAMP2","3920",FALSE
"ENSG00000005981",0.37202147474313,0.467711669783919,0.845349906938348,"ASB4","51666",FALSE
"ENSG00000006007",0.57100037310272,0.236584328316214,0.845349906938348,"GDE1","51573",FALSE
"ENSG00000006016",0.475352468369505,0.340676611998131,0.845349906938348,"CRLF1","9244",FALSE
"ENSG00000006025",-0.425005698092715,0.400875809208621,0.845349906938348,"OSBPL7","114881",FALSE
"ENSG00000006059",0.693373632776295,0.126615129628121,0.845349906938348,"KRT33A","3883",FALSE
"ENSG00000006125",0.396897962320809,0.435914326133546,0.845349906938348,"AP2B1","163",FALSE
"ENSG00000006194",-0.496995734978425,0.315886553797852,0.845349906938348,"ZNF263","10127",FALSE
"ENSG00000006210",0.371750802810588,0.468061527071967,0.845349906938348,"CX3CL1","6376",FALSE
"ENSG00000006282",0.550334657223023,0.257837457295404,0.845349906938348,"SPATA20","64847",FALSE
"ENSG00000006283",-0.352774724254149,0.492789321906619,0.845349906938348,"CACNA1G","8913",FALSE
"ENSG00000006432",0.347505310444506,0.499724394689487,0.845349906938348,"MAP3K9","4293",FALSE
"ENSG00000006451",-0.369919171832669,0.470431147812493,0.845349906938348,"RALA","5898",FALSE
"ENSG00000006453",0.612312130019183,0.196317718061574,0.845349906938348,"BAIAP2L1","55971",FALSE
"ENSG00000006468",0.34626845220367,0.501356434142748,0.845349906938348,"ETV1","2115",FALSE
"ENSG00000006530",0.39843313432807,0.433975721864072,0.845349906938348,"AGK","55750",FALSE
"ENSG00000006576",-0.719881664076278,0.10670950099413,0.845349906938348,"PHTF2","57157",FALSE
"ENSG00000006625",0.472047864068593,0.344521224542158,0.845349906938348,"GGCT","79017",FALSE
"ENSG00000006695",0.551865440027186,0.256238657507156,0.845349906938348,"COX10","1352",FALSE
"ENSG00000006704",-0.541201522960789,0.267456431931674,0.845349906938348,"GTF2IRD1","9569",FALSE
"ENSG00000006740",0.966816889226338,0.00163340898669413,0.845349906938348,"ARHGAP44","9912",FALSE
"ENSG00000006744",0.455194670470653,0.364366660143414,0.845349906938348,"ELAC2","60528",FALSE
"ENSG00000006747",-0.546181143959793,0.262194981806315,0.845349906938348,"SCIN","85477",FALSE
"ENSG00000006788",0.465286473331876,0.35243557379993,0.845349906938348,"MYH13","8735",FALSE
"ENSG00000006837",-0.635221791906747,0.175325444562778,0.845349906938348,"CDKL3","51265",FALSE
"ENSG00000007001",-0.352769040625155,0.49279678637571,0.845349906938348,"UPP2","151531",FALSE
"ENSG00000007038",0.402568687675485,0.428767420897016,0.845349906938348,"PRSS21","10942",FALSE
"ENSG00000007047",0.636360731708849,0.174307626401658,0.845349906938348,"MARK4","57787",FALSE
"ENSG00000007080",-0.447860627715903,0.373124808615784,0.845349906938348,"CCDC124","115098",FALSE
"ENSG00000007129",-0.554679821591283,0.253309356008229,0.845349906938348,"CEACAM21","90273",FALSE
"ENSG00000007171",0.402568687675485,0.428767420897016,0.845349906938348,"NOS2","4843",FALSE
"ENSG00000007174",0.462263624657902,0.355994578836617,0.845349906938348,"DNAH9","1770",FALSE
"ENSG00000007202",0.528091508468342,0.281499986575177,0.845349906938348,"KIAA0100","9703",FALSE
"ENSG00000007216",0.568500941259145,0.23911644148603,0.845349906938348,"SLC13A2","9058",FALSE
"ENSG00000007237",0.475089382031887,0.340982120376211,0.845349906938348,"GAS7","8522",FALSE
"ENSG00000007255",0.817260676899948,0.0470393228795615,0.845349906938348,"TRAPPC6A","79090",FALSE
"ENSG00000007306",0.389839824556596,0.4448632341445,0.845349906938348,"CEACAM7","1087",FALSE
"ENSG00000007312",0.402568687675485,0.428767420897015,0.845349906938348,"CD79B","974",FALSE
"ENSG00000007314",0.46925079473154,0.347787454249235,0.845349906938348,"SCN4A","6329",FALSE
"ENSG00000007341",0.955072157263469,0.00298242290586311,0.845349906938348,"ST7L","54879",FALSE
"ENSG00000007350",-0.438698953299487,0.384166862184646,0.845349906938348,"TKTL1","8277",FALSE
"ENSG00000007392",-0.494906388850657,0.318249705122366,0.845349906938348,"LUC7L","55692",FALSE
"ENSG00000007520",-0.420991465206281,0.405819763663518,0.845349906938348,"TSR3","115939",FALSE
"ENSG00000007545",-0.641533284255847,0.169716382187552,0.845349906938348,"CRAMP1L","57585",FALSE
