"","idSample","ZIP","Bliss"
"1","SKBR7",-2.5296,-3.4815
"2","HS578T",-1.2447,-1.8514
"3","BT549",-0.409,-1.4195
"4","MDAMB436",-1.149,-1.2737
"5","MACLS2",-0.165,-1.1074
"6","HCC1954",-0.0809,-0.7646
"7","600MPE",-0.207,-0.5877
"8","CAL51",0.0811,-0.5044
"9","HCC1395",-0.5587,-0.3139
"10","HBL100",0.5914,-0.295
"11","MDAMB231",-0.3763,-0.1945
"12","EVSA-T",0.4188,0.4608
"13","HCC38",0.9817,0.9564
"14","HCC70",0.8063,0.9789
"15","HCC1428",0.3457,1.0205
"16","HDQP-1",0.8525,1.1112
"17","ZR751",1.0953,1.1708
"18","MX1",0.5197,1.2459
"19","HCC1419",1.8846,1.2862
"20","EFM-19",0.8596,1.3616
"21","HCC1937",0.773,1.3883
"22","SUM149",1.7542,1.5313
"23","BT20",4.9418,1.6719
"24","MDAMB468",0.8686,1.8515
"25","HCC1806",2.25595,1.88415
"26","T47D",1.3803,1.9811
"27","AU565",1.8109,2.0048
"28","MDAMB361",1.8478,2.006
"29","CAMA1",1.0968,2.3645
"30","MCF7",3.051,2.4807
"31","SK-BR-5",1.8446,2.6528
"32","MDAMB175VII",3.7523,3.0219
"33","BT474",1.2061,3.1238
"34","OCUB-M",3.063,3.4181
"35","SKBR3",3.3613,3.777
"36","HCC1143",3.4257,4.5882
"37","LY2",2.529,4.841
