"","block","replicate","aac","drug"
"1",58,2,0.431111611917235,"FLV"
"2",58,3,0.55467646828863,"FLV"
"3",58,1,0.358362884478514,"FLV"
"4",58,2,0.84772492109144,"TBF"
"5",58,3,0.687579133609139,"TBF"
"6",58,1,0.721950730621786,"TBF"
"7",95,1,0.6123408721965,"FLV"
"8",95,2,0.4683870409541,"FLV"
"9",95,4,0.806428474449655,"FLV"
"10",95,3,0.57516565704529,"FLV"
"11",95,5,0.664633898497483,"FLV"
"12",95,1,0.936151866914661,"TBF"
"13",95,2,0.883838281306943,"TBF"
"14",95,4,0.754782537474338,"TBF"
"15",95,3,0.849870710753356,"TBF"
"16",95,5,0.712400198753469,"TBF"
"17",66,1,0.732499564576742,"FLV"
"18",66,2,0.606103236856425,"FLV"
"19",66,1,0.816115291638453,"TBF"
"20",66,2,0.625453202306625,"TBF"
"21",180,1,0.723140400579851,"FLV"
"22",180,2,0.693802505514963,"FLV"
"23",180,1,0.792054529693734,"TBF"
"24",180,2,0.70692657124912,"TBF"
"25",180,3,0.787372312634937,"TBF"
"26",137,1,0.366523015465204,"FLV"
"27",137,2,0.207661914347528,"FLV"
"28",137,1,0.751376523484699,"TBF"
"29",137,2,0.687715961503684,"TBF"
"30",143,1,0.418520262733745,"FLV"
"31",143,2,0.392100131852721,"FLV"
"32",143,1,0.737055278845248,"TBF"
"33",143,2,0.749172328614216,"TBF"
"34",132,1,0.284328663076857,"FLV"
"35",132,2,0.313886827002139,"FLV"
"36",132,1,0.59993307946989,"TBF"
"37",132,2,0.690989267887652,"TBF"
